tickers,0,1,2,3,4,5,6,7,8,9,10,11
ABL,0.072,0.32032,0.2971,0.236,-0.05161,0.50633,-0.02516,0.90484,0.03214,0.45968,0.227,-0.87821
ALL,-0.14433,0.19032,0.75032,0.03433,-0.33581,0.247,0.49968,0.27032,-0.32786,0.31968,0.19933,-0.50903
BHL,0.08667,1.05613,0.05516,0.27567,-0.21839,0.49233,1.11516,0.57613,0.17143,0.92258,0.22367,-0.67903
CGL,-0.18567,0.76774,0.16194,0.48633,-0.2071,0.47833,0.2571,0.59484,-0.02321,0.55387,0.07333,-0.11871
HHM,0.18233,0.33,0.13677,0.46533,-0.12774,0.56067,0.10839,0,0.14321,0.00968,-0.15767,-0.27258
HCC,-0.157,0.61226,1.23548,0.56067,-0.71065,0.97333,0.32839,0.61581,0.03286,0.49935,-0.03733,-0.59452
KMB,0.18567,0.27806,0.55097,0.02733,-0.46613,0.73333,0.20581,0.17065,-0.05286,0.6671,0.373,-0.08355
MML,0.37533,0.65903,0.1929,0.16533,-0.15226,0.80867,0.39097,0.29,0.1975,0.21839,0.031,-0.06548
SIL,-0.10467,0.25516,0.31161,0.43333,-0.3171,1.104,0.37194,0.73097,0.03321,0.75903,0.09467,-0.44903
UNL,0.26367,0.41581,0.24484,0.12967,-0.0829,0.54,0.93258,0.61871,0.2275,0.68968,0.65433,0.65258
